auditorLabel	transferLabel	trueLabel
0.0	5.0	7.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
